_id,characterName,loginSessionId,playerKilled,serverId,type
"""63e695789cf6f23f6d11f18a""",Macleod,0x3d1630aad53b65d2,DNTxSupreme,46,player
"""63e697839cf6f23f6d11f1d7""",wwwww,0xe3d7fb768a07df4f,DNTxChrisH1Z1,46,player
"""63e697fc9cf6f23f6d11f1f2""",DNTxChrisH1Z1,0x8b5f29efff1ff87c,SKGxLittleBoy,46,player
"""63e697fe9cf6f23f6d11f1f3""",nasus,0x40ec7aceb13acc4e,Zeh,46,player
"""63e6987c9cf6f23f6d11f200""",Chenko133,0xaad8e34aa1402506,ChupetaDeBaleia,46,player
"""63e698ce9cf6f23f6d11f20a""",StrykerZ,0xf4079e9e9cefbc34,DNTxAaTuBee,46,player
"""63e699d69cf6f23f6d11f222""",Russ,0xf25a2eeac90a34c3,NFxLindao,46,player
"""63e69a999cf6f23f6d11f237""",ChupetaDeBaleia,0x159c92d8c57413c4,DNTxChrisH1Z1,46,player
"""63e69ad69cf6f23f6d11f23f""",IGOR,0x6112dfa656f51511,MacacaoDaBolaRoxa,46,player
"""63e69b279cf6f23f6d11f24b""",DNTxKonan,0x9e2d6a3edbf836cf,ChupetaDeBaleia,46,player
"""63e69b469cf6f23f6d11f24f""",xxD,0xa1140a1ae8b20a78,Agressivo,46,player
"""63e69bad9cf6f23f6d11f272""",N1N1J4,0x678e1da7259f86a3,xxD,46,player
"""63e69bd39cf6f23f6d11f27a""",DNTxKonan,0x9e2d6a3edbf836cf,Learin,46,player
"""63e69bd39cf6f23f6d11f27b""",DNTxVoid,0xcc4b72e0b72c4a32,DiegoNTC,46,player
"""63e69bdf9cf6f23f6d11f280""",BrKK,0xce14f28393edde5d,IGOR,46,player
"""63e69be49cf6f23f6d11f282""",DNTxKonan,0x9e2d6a3edbf836cf,DNTxLM,46,player
"""63e69bf89cf6f23f6d11f28b""",DNTxAaTuBee,0xaebcf6faca9bef73,EDMxHd,46,player
"""63e69c749cf6f23f6d11f2ae""",MacabreNTC,0x9813ec2f0297b99a,AGxkLZZ,46,player
"""63e69d989cf6f23f6d11f2d8""",FumasaNTC,0xb5581afff5ddabbe,DNTxChrisH1Z1,46,player
"""63e69e149cf6f23f6d11f2e3""",DNTxVoid,0xcc4b72e0b72c4a32,SKGx Juaoo,46,player
"""63e69e6c9cf6f23f6d11f2ee""",StrykerZ,0xf4079e9e9cefbc34,AGxkLZZ,46,player
"""63e69eab9cf6f23f6d11f2f6""",SKGxLittleBoy,0x220a3eef00f73222,ZecaPauGordinho,46,player
"""63e69ee09cf6f23f6d11f2fd""",StrykerZ,0xf4079e9e9cefbc34,IGOR,46,player
"""63e69ff89cf6f23f6d11f335""",Drumspyd3r,0x6b3c3e7898ae696b,Maestro Tabarez,46,player
"""63e6a06a858bd2baa64e87d8""",Maestro Tabarez,0x3b9409f81b522588,Drumspyd3r,46,player
"""63e6a0bf858bd2baa64e87e5""",ChupetaDeBaleia,0x159c92d8c57413c4,nakee,46,player
"""63e6a0eb858bd2baa64e87ef""",BolaDeNevee,0xbcd0d735491f72c1,IGOR,46,player
"""63e6a15c858bd2baa64e8800""",TRABSON,0x030f0fc5a0c9cf5e,EDMxTFC,46,player
"""63e6a161858bd2baa64e8801""",BrKK,0xce14f28393edde5d,ChupetaDeBaleia,46,player
"""63e6a1a0858bd2baa64e880a""",1DINHOO,0x4e01bcbe9a89efac,EDMxTFC,46,player
"""63e6a2ef858bd2baa64e8826""",StrykerZ,0xf4079e9e9cefbc34,NNN,46,player
"""63e6a302858bd2baa64e8829""",Russ,0xf25a2eeac90a34c3,EDMxTFC,46,player
"""63e6a343858bd2baa64e8830""",Russ,0xf25a2eeac90a34c3,Drumspyd3r,46,player
"""63e6a400858bd2baa64e8841""",Pesadelo54,0x854b60d5a960affe,FShinoda,46,player
